conv1_pruning,conv2_pruning,conv3_pruning,conv4_pruning,conv5_pruning,conv1_bits,conv2_bits,conv3_bits,conv4_bits,conv5_bits,conv1_bram,conv2_bram,conv3_bram,conv4_bram,conv5_bram,brams,accuracy
18,36,72,72,135,6,6,6,6,6,3.5,6.5,12.5,12.5,23.0,58.0,0.9808333333333333
18,36,72,72,135,6,6,6,6,8,3.5,6.5,12.5,12.5,30.5,65.5,0.9813333333333333
18,36,72,72,135,6,6,6,8,6,3.5,6.5,12.5,16.5,23.0,62.0,0.9815
18,36,72,72,135,6,6,6,8,8,3.5,6.5,12.5,16.5,30.5,69.5,0.9835
18,36,72,72,135,6,6,8,6,6,3.5,6.5,16.5,12.5,23.0,62.0,0.979
18,36,72,72,135,6,6,8,6,8,3.5,6.5,16.5,12.5,30.5,69.5,0.9796666666666667
18,36,72,72,135,6,6,8,8,6,3.5,6.5,16.5,16.5,23.0,66.0,0.9833333333333333
18,36,72,72,135,6,6,8,8,8,3.5,6.5,16.5,16.5,30.5,73.5,0.9836666666666667
18,36,72,72,135,6,8,6,6,6,3.5,8.5,12.5,12.5,23.0,60.0,0.9811666666666666
18,36,72,72,135,6,8,6,6,8,3.5,8.5,12.5,12.5,30.5,67.5,0.9831666666666666
18,36,72,72,135,6,8,6,8,6,3.5,8.5,12.5,16.5,23.0,64.0,0.9841666666666666
18,36,72,72,135,6,8,6,8,8,3.5,8.5,12.5,16.5,30.5,71.5,0.9838333333333333
18,36,72,72,135,6,8,8,6,6,3.5,8.5,16.5,12.5,23.0,64.0,0.9818333333333333
18,36,72,72,135,6,8,8,6,8,3.5,8.5,16.5,12.5,30.5,71.5,0.9826666666666667
18,36,72,72,135,6,8,8,8,6,3.5,8.5,16.5,16.5,23.0,68.0,0.9838333333333333
18,36,72,72,135,6,8,8,8,8,3.5,8.5,16.5,16.5,30.5,75.5,0.9856666666666667
18,36,72,72,135,8,6,6,6,6,4.5,6.5,12.5,12.5,23.0,59.0,0.9791666666666666
18,36,72,72,135,8,6,6,6,8,4.5,6.5,12.5,12.5,30.5,66.5,0.9818333333333333
18,36,72,72,135,8,6,6,8,6,4.5,6.5,12.5,16.5,23.0,63.0,0.9816666666666667
18,36,72,72,135,8,6,6,8,8,4.5,6.5,12.5,16.5,30.5,70.5,0.9811666666666666
18,36,72,72,135,8,6,8,6,6,4.5,6.5,16.5,12.5,23.0,63.0,0.9796666666666667
18,36,72,72,135,8,6,8,6,8,4.5,6.5,16.5,12.5,30.5,70.5,0.979
18,36,72,72,135,8,6,8,8,6,4.5,6.5,16.5,16.5,23.0,67.0,0.982
18,36,72,72,135,8,6,8,8,8,4.5,6.5,16.5,16.5,30.5,74.5,0.9815
18,36,72,72,135,8,8,6,6,6,4.5,8.5,12.5,12.5,23.0,61.0,0.983
18,36,72,72,135,8,8,6,6,8,4.5,8.5,12.5,12.5,30.5,68.5,0.9843333333333333
18,36,72,72,135,8,8,6,8,6,4.5,8.5,12.5,16.5,23.0,65.0,0.9845
18,36,72,72,135,8,8,6,8,8,4.5,8.5,12.5,16.5,30.5,72.5,0.9843333333333333
18,36,72,72,135,8,8,8,6,6,4.5,8.5,16.5,12.5,23.0,65.0,0.9806666666666667
18,36,72,72,135,8,8,8,6,8,4.5,8.5,16.5,12.5,30.5,72.5,0.9816666666666667
18,36,72,72,135,8,8,8,8,6,4.5,8.5,16.5,16.5,23.0,69.0,0.9825
18,36,72,72,135,8,8,8,8,8,4.5,8.5,16.5,16.5,30.5,76.5,0.983
