conv1_pruning,conv2_pruning,conv3_pruning,conv4_pruning,conv5_pruning,conv1_bits,conv2_bits,conv3_bits,conv4_bits,conv5_bits,conv1_bram,conv2_bram,conv3_bram,conv4_bram,conv5_bram,brams,accuracy
18,36,72,72,135,6,6,6,6,6,3.5,6.5,12.5,12.5,23.0,58.0,0.5535
18,36,72,72,132,6,6,6,6,6,3.5,6.5,12.5,12.5,22.5,57.5,0.5555
18,36,72,72,135,6,6,6,6,8,3.5,6.5,12.5,12.5,30.5,65.5,0.548
18,36,72,72,126,6,6,6,6,8,3.5,6.5,12.5,12.5,28.5,63.5,0.5395
18,36,72,69,135,6,6,6,6,6,3.5,6.5,12.5,12.0,23.0,57.5,0.524
18,36,72,69,132,6,6,6,6,6,3.5,6.5,12.5,12.0,22.5,57.0,0.5265
18,36,72,69,135,6,6,6,6,8,3.5,6.5,12.5,12.0,30.5,65.0,0.5185
18,36,72,69,126,6,6,6,6,8,3.5,6.5,12.5,12.0,28.5,63.0,0.507
18,36,72,72,135,6,6,6,8,6,3.5,6.5,12.5,16.5,23.0,62.0,0.5585
18,36,72,72,132,6,6,6,8,6,3.5,6.5,12.5,16.5,22.5,61.5,0.556
18,36,72,72,135,6,6,6,8,8,3.5,6.5,12.5,16.5,30.5,69.5,0.5515
18,36,72,72,126,6,6,6,8,8,3.5,6.5,12.5,16.5,28.5,67.5,0.548
18,36,72,63,135,6,6,6,8,6,3.5,6.5,12.5,14.5,23.0,60.0,0.53
18,36,72,63,132,6,6,6,8,6,3.5,6.5,12.5,14.5,22.5,59.5,0.5345
18,36,72,63,135,6,6,6,8,8,3.5,6.5,12.5,14.5,30.5,67.5,0.524
18,36,72,63,126,6,6,6,8,8,3.5,6.5,12.5,14.5,28.5,65.5,0.5065
18,36,69,72,135,6,6,6,6,6,3.5,6.5,12.0,12.5,23.0,57.5,0.5625
18,36,69,72,132,6,6,6,6,6,3.5,6.5,12.0,12.5,22.5,57.0,0.5695
18,36,69,72,135,6,6,6,6,8,3.5,6.5,12.0,12.5,30.5,65.0,0.5615
18,36,69,72,126,6,6,6,6,8,3.5,6.5,12.0,12.5,28.5,63.0,0.5715
18,36,69,69,135,6,6,6,6,6,3.5,6.5,12.0,12.0,23.0,57.0,0.539
18,36,69,69,132,6,6,6,6,6,3.5,6.5,12.0,12.0,22.5,56.5,0.547
18,36,69,69,135,6,6,6,6,8,3.5,6.5,12.0,12.0,30.5,64.5,0.5425
18,36,69,69,126,6,6,6,6,8,3.5,6.5,12.0,12.0,28.5,62.5,0.543
18,36,69,72,135,6,6,6,8,6,3.5,6.5,12.0,16.5,23.0,61.5,0.5545
18,36,69,72,132,6,6,6,8,6,3.5,6.5,12.0,16.5,22.5,61.0,0.5615
18,36,69,72,135,6,6,6,8,8,3.5,6.5,12.0,16.5,30.5,69.0,0.5625
18,36,69,72,126,6,6,6,8,8,3.5,6.5,12.0,16.5,28.5,67.0,0.563
18,36,69,63,135,6,6,6,8,6,3.5,6.5,12.0,14.5,23.0,59.5,0.5355
18,36,69,63,132,6,6,6,8,6,3.5,6.5,12.0,14.5,22.5,59.0,0.54
18,36,69,63,135,6,6,6,8,8,3.5,6.5,12.0,14.5,30.5,67.0,0.5385
18,36,69,63,126,6,6,6,8,8,3.5,6.5,12.0,14.5,28.5,65.0,0.534
18,36,72,72,135,6,6,8,6,6,3.5,6.5,16.5,12.5,23.0,62.0,0.563
18,36,72,72,132,6,6,8,6,6,3.5,6.5,16.5,12.5,22.5,61.5,0.5695
18,36,72,72,135,6,6,8,6,8,3.5,6.5,16.5,12.5,30.5,69.5,0.559
18,36,72,72,126,6,6,8,6,8,3.5,6.5,16.5,12.5,28.5,67.5,0.562
18,36,72,69,135,6,6,8,6,6,3.5,6.5,16.5,12.0,23.0,61.5,0.5445
18,36,72,69,132,6,6,8,6,6,3.5,6.5,16.5,12.0,22.5,61.0,0.5435
18,36,72,69,135,6,6,8,6,8,3.5,6.5,16.5,12.0,30.5,69.0,0.5415
18,36,72,69,126,6,6,8,6,8,3.5,6.5,16.5,12.0,28.5,67.0,0.5345
18,36,72,72,135,6,6,8,8,6,3.5,6.5,16.5,16.5,23.0,66.0,0.5665
18,36,72,72,132,6,6,8,8,6,3.5,6.5,16.5,16.5,22.5,65.5,0.5635
18,36,72,72,135,6,6,8,8,8,3.5,6.5,16.5,16.5,30.5,73.5,0.5655
18,36,72,72,126,6,6,8,8,8,3.5,6.5,16.5,16.5,28.5,71.5,0.5615
18,36,72,63,135,6,6,8,8,6,3.5,6.5,16.5,14.5,23.0,64.0,0.5455
18,36,72,63,132,6,6,8,8,6,3.5,6.5,16.5,14.5,22.5,63.5,0.544
18,36,72,63,135,6,6,8,8,8,3.5,6.5,16.5,14.5,30.5,71.5,0.5395
18,36,72,63,126,6,6,8,8,8,3.5,6.5,16.5,14.5,28.5,69.5,0.527
18,36,63,72,135,6,6,8,6,6,3.5,6.5,14.5,12.5,23.0,60.0,0.4035
18,36,63,72,132,6,6,8,6,6,3.5,6.5,14.5,12.5,22.5,59.5,0.412
18,36,63,72,135,6,6,8,6,8,3.5,6.5,14.5,12.5,30.5,67.5,0.418
18,36,63,72,126,6,6,8,6,8,3.5,6.5,14.5,12.5,28.5,65.5,0.441
18,36,63,69,135,6,6,8,6,6,3.5,6.5,14.5,12.0,23.0,59.5,0.4085
18,36,63,69,132,6,6,8,6,6,3.5,6.5,14.5,12.0,22.5,59.0,0.4145
18,36,63,69,135,6,6,8,6,8,3.5,6.5,14.5,12.0,30.5,67.0,0.42
18,36,63,69,126,6,6,8,6,8,3.5,6.5,14.5,12.0,28.5,65.0,0.4325
18,36,63,72,135,6,6,8,8,6,3.5,6.5,14.5,16.5,23.0,64.0,0.3855
18,36,63,72,132,6,6,8,8,6,3.5,6.5,14.5,16.5,22.5,63.5,0.393
18,36,63,72,135,6,6,8,8,8,3.5,6.5,14.5,16.5,30.5,71.5,0.399
18,36,63,72,126,6,6,8,8,8,3.5,6.5,14.5,16.5,28.5,69.5,0.418
18,36,63,63,135,6,6,8,8,6,3.5,6.5,14.5,14.5,23.0,62.0,0.3875
18,36,63,63,132,6,6,8,8,6,3.5,6.5,14.5,14.5,22.5,61.5,0.394
18,36,63,63,135,6,6,8,8,8,3.5,6.5,14.5,14.5,30.5,69.5,0.4
18,36,63,63,126,6,6,8,8,8,3.5,6.5,14.5,14.5,28.5,67.5,0.4125
18,33,72,72,135,6,6,6,6,6,3.5,6.0,12.5,12.5,23.0,57.5,0.4495
18,33,72,72,132,6,6,6,6,6,3.5,6.0,12.5,12.5,22.5,57.0,0.457
18,33,72,72,135,6,6,6,6,8,3.5,6.0,12.5,12.5,30.5,65.0,0.4425
18,33,72,72,126,6,6,6,6,8,3.5,6.0,12.5,12.5,28.5,63.0,0.459
18,33,72,69,135,6,6,6,6,6,3.5,6.0,12.5,12.0,23.0,57.0,0.426
18,33,72,69,132,6,6,6,6,6,3.5,6.0,12.5,12.0,22.5,56.5,0.4295
18,33,72,69,135,6,6,6,6,8,3.5,6.0,12.5,12.0,30.5,64.5,0.421
18,33,72,69,126,6,6,6,6,8,3.5,6.0,12.5,12.0,28.5,62.5,0.43
18,33,72,72,135,6,6,6,8,6,3.5,6.0,12.5,16.5,23.0,61.5,0.456
18,33,72,72,132,6,6,6,8,6,3.5,6.0,12.5,16.5,22.5,61.0,0.4625
18,33,72,72,135,6,6,6,8,8,3.5,6.0,12.5,16.5,30.5,69.0,0.451
18,33,72,72,126,6,6,6,8,8,3.5,6.0,12.5,16.5,28.5,67.0,0.4665
18,33,72,63,135,6,6,6,8,6,3.5,6.0,12.5,14.5,23.0,59.5,0.4555
18,33,72,63,132,6,6,6,8,6,3.5,6.0,12.5,14.5,22.5,59.0,0.4605
18,33,72,63,135,6,6,6,8,8,3.5,6.0,12.5,14.5,30.5,67.0,0.453
18,33,72,63,126,6,6,6,8,8,3.5,6.0,12.5,14.5,28.5,65.0,0.451
18,33,69,72,135,6,6,6,6,6,3.5,6.0,12.0,12.5,23.0,57.0,0.4735
18,33,69,72,132,6,6,6,6,6,3.5,6.0,12.0,12.5,22.5,56.5,0.4845
18,33,69,72,135,6,6,6,6,8,3.5,6.0,12.0,12.5,30.5,64.5,0.472
18,33,69,72,126,6,6,6,6,8,3.5,6.0,12.0,12.5,28.5,62.5,0.4905
18,33,69,69,135,6,6,6,6,6,3.5,6.0,12.0,12.0,23.0,56.5,0.4595
18,33,69,69,132,6,6,6,6,6,3.5,6.0,12.0,12.0,22.5,56.0,0.464
18,33,69,69,135,6,6,6,6,8,3.5,6.0,12.0,12.0,30.5,64.0,0.453
18,33,69,69,126,6,6,6,6,8,3.5,6.0,12.0,12.0,28.5,62.0,0.4625
18,33,69,72,135,6,6,6,8,6,3.5,6.0,12.0,16.5,23.0,61.0,0.475
18,33,69,72,132,6,6,6,8,6,3.5,6.0,12.0,16.5,22.5,60.5,0.485
