conv1_pruning,conv2_pruning,conv3_pruning,conv4_pruning,conv5_pruning,conv1_bits,conv2_bits,conv3_bits,conv4_bits,conv5_bits,conv1_bram,conv2_bram,conv3_bram,conv4_bram,conv5_bram,brams,accuracy
18,36,72,72,135,6,6,6,6,6,3.5,6.5,12.5,12.5,23.0,58.0,0.9705
18,36,72,72,132,6,6,6,6,6,3.5,6.5,12.5,12.5,22.5,57.5,0.9695
18,36,72,72,129,6,6,6,6,6,3.5,6.5,12.5,12.5,22.0,57.0,0.9668333333333333
18,36,72,72,135,6,6,6,6,8,3.5,6.5,12.5,12.5,30.5,65.5,0.9691666666666666
18,36,72,72,126,6,6,6,6,8,3.5,6.5,12.5,12.5,28.5,63.5,0.9555
18,36,72,72,117,6,6,6,6,8,3.5,6.5,12.5,12.5,26.5,61.5,0.8896666666666667
18,36,72,69,135,6,6,6,6,6,3.5,6.5,12.5,12.0,23.0,57.5,0.9681666666666666
18,36,72,69,132,6,6,6,6,6,3.5,6.5,12.5,12.0,22.5,57.0,0.9661666666666666
18,36,72,69,129,6,6,6,6,6,3.5,6.5,12.5,12.0,22.0,56.5,0.9628333333333333
18,36,72,69,135,6,6,6,6,8,3.5,6.5,12.5,12.0,30.5,65.0,0.9663333333333334
18,36,72,69,126,6,6,6,6,8,3.5,6.5,12.5,12.0,28.5,63.0,0.9495
18,36,72,69,117,6,6,6,6,8,3.5,6.5,12.5,12.0,26.5,61.0,0.8765
18,36,72,66,135,6,6,6,6,6,3.5,6.5,12.5,11.5,23.0,57.0,0.9681666666666666
18,36,72,66,132,6,6,6,6,6,3.5,6.5,12.5,11.5,22.5,56.5,0.9663333333333334
18,36,72,66,129,6,6,6,6,6,3.5,6.5,12.5,11.5,22.0,56.0,0.9626666666666667
18,36,72,66,135,6,6,6,6,8,3.5,6.5,12.5,11.5,30.5,64.5,0.967
18,36,72,66,126,6,6,6,6,8,3.5,6.5,12.5,11.5,28.5,62.5,0.949
18,36,72,66,117,6,6,6,6,8,3.5,6.5,12.5,11.5,26.5,60.5,0.8751666666666666
18,36,72,72,135,6,6,6,8,6,3.5,6.5,12.5,16.5,23.0,62.0,0.9741666666666666
18,36,72,72,132,6,6,6,8,6,3.5,6.5,12.5,16.5,22.5,61.5,0.9743333333333334
18,36,72,72,129,6,6,6,8,6,3.5,6.5,12.5,16.5,22.0,61.0,0.9731666666666666
18,36,72,72,135,6,6,6,8,8,3.5,6.5,12.5,16.5,30.5,69.5,0.9728333333333333
18,36,72,72,126,6,6,6,8,8,3.5,6.5,12.5,16.5,28.5,67.5,0.9646666666666667
18,36,72,72,117,6,6,6,8,8,3.5,6.5,12.5,16.5,26.5,65.5,0.9041666666666667
18,36,72,63,135,6,6,6,8,6,3.5,6.5,12.5,14.5,23.0,60.0,0.9593333333333334
18,36,72,63,132,6,6,6,8,6,3.5,6.5,12.5,14.5,22.5,59.5,0.9575
18,36,72,63,129,6,6,6,8,6,3.5,6.5,12.5,14.5,22.0,59.0,0.9583333333333334
18,36,72,63,135,6,6,6,8,8,3.5,6.5,12.5,14.5,30.5,67.5,0.9581666666666667
18,36,72,63,126,6,6,6,8,8,3.5,6.5,12.5,14.5,28.5,65.5,0.9453333333333334
18,36,72,63,117,6,6,6,8,8,3.5,6.5,12.5,14.5,26.5,63.5,0.872
18,36,72,54,135,6,6,6,8,6,3.5,6.5,12.5,12.5,23.0,58.0,0.9131666666666667
18,36,72,54,132,6,6,6,8,6,3.5,6.5,12.5,12.5,22.5,57.5,0.9098333333333334
18,36,72,54,129,6,6,6,8,6,3.5,6.5,12.5,12.5,22.0,57.0,0.9063333333333333
18,36,72,54,135,6,6,6,8,8,3.5,6.5,12.5,12.5,30.5,65.5,0.9116666666666666
18,36,72,54,126,6,6,6,8,8,3.5,6.5,12.5,12.5,28.5,63.5,0.8895
18,36,72,54,117,6,6,6,8,8,3.5,6.5,12.5,12.5,26.5,61.5,0.7975
18,36,69,72,135,6,6,6,6,6,3.5,6.5,12.0,12.5,23.0,57.5,0.9653333333333334
18,36,69,72,132,6,6,6,6,6,3.5,6.5,12.0,12.5,22.5,57.0,0.9645
18,36,69,72,129,6,6,6,6,6,3.5,6.5,12.0,12.5,22.0,56.5,0.96
18,36,69,72,135,6,6,6,6,8,3.5,6.5,12.0,12.5,30.5,65.0,0.9628333333333333
18,36,69,72,126,6,6,6,6,8,3.5,6.5,12.0,12.5,28.5,63.0,0.9501666666666667
18,36,69,72,117,6,6,6,6,8,3.5,6.5,12.0,12.5,26.5,61.0,0.876
18,36,69,69,135,6,6,6,6,6,3.5,6.5,12.0,12.0,23.0,57.0,0.9603333333333334
18,36,69,69,132,6,6,6,6,6,3.5,6.5,12.0,12.0,22.5,56.5,0.9575
18,36,69,69,129,6,6,6,6,6,3.5,6.5,12.0,12.0,22.0,56.0,0.954
18,36,69,69,135,6,6,6,6,8,3.5,6.5,12.0,12.0,30.5,64.5,0.9588333333333333
18,36,69,69,126,6,6,6,6,8,3.5,6.5,12.0,12.0,28.5,62.5,0.9388333333333333
18,36,69,69,117,6,6,6,6,8,3.5,6.5,12.0,12.0,26.5,60.5,0.8601666666666666
18,36,69,66,135,6,6,6,6,6,3.5,6.5,12.0,11.5,23.0,56.5,0.9625
18,36,69,66,132,6,6,6,6,6,3.5,6.5,12.0,11.5,22.5,56.0,0.9601666666666666
18,36,69,66,129,6,6,6,6,6,3.5,6.5,12.0,11.5,22.0,55.5,0.9561666666666667
18,36,69,66,135,6,6,6,6,8,3.5,6.5,12.0,11.5,30.5,64.0,0.9608333333333333
18,36,69,66,126,6,6,6,6,8,3.5,6.5,12.0,11.5,28.5,62.0,0.938
18,36,69,66,117,6,6,6,6,8,3.5,6.5,12.0,11.5,26.5,60.0,0.8528333333333333
18,36,69,72,135,6,6,6,8,6,3.5,6.5,12.0,16.5,23.0,61.5,0.969
18,36,69,72,132,6,6,6,8,6,3.5,6.5,12.0,16.5,22.5,61.0,0.9665
18,36,69,72,129,6,6,6,8,6,3.5,6.5,12.0,16.5,22.0,60.5,0.9653333333333334
18,36,69,72,135,6,6,6,8,8,3.5,6.5,12.0,16.5,30.5,69.0,0.9678333333333333
18,36,69,72,126,6,6,6,8,8,3.5,6.5,12.0,16.5,28.5,67.0,0.958
18,36,69,72,117,6,6,6,8,8,3.5,6.5,12.0,16.5,26.5,65.0,0.8925
18,36,69,63,135,6,6,6,8,6,3.5,6.5,12.0,14.5,23.0,59.5,0.9543333333333334
18,36,69,63,132,6,6,6,8,6,3.5,6.5,12.0,14.5,22.5,59.0,0.9526666666666667
18,36,69,63,129,6,6,6,8,6,3.5,6.5,12.0,14.5,22.0,58.5,0.95
18,36,69,63,135,6,6,6,8,8,3.5,6.5,12.0,14.5,30.5,67.0,0.9515
18,36,69,63,126,6,6,6,8,8,3.5,6.5,12.0,14.5,28.5,65.0,0.9368333333333333
18,36,69,63,117,6,6,6,8,8,3.5,6.5,12.0,14.5,26.5,63.0,0.8555
18,36,69,54,135,6,6,6,8,6,3.5,6.5,12.0,12.5,23.0,57.5,0.9131666666666667
18,36,69,54,132,6,6,6,8,6,3.5,6.5,12.0,12.5,22.5,57.0,0.9108333333333334
18,36,69,54,129,6,6,6,8,6,3.5,6.5,12.0,12.5,22.0,56.5,0.9088333333333334
18,36,69,54,135,6,6,6,8,8,3.5,6.5,12.0,12.5,30.5,65.0,0.912
18,36,69,54,126,6,6,6,8,8,3.5,6.5,12.0,12.5,28.5,63.0,0.8908333333333334
18,36,69,54,117,6,6,6,8,8,3.5,6.5,12.0,12.5,26.5,61.0,0.797
18,36,66,72,135,6,6,6,6,6,3.5,6.5,11.5,12.5,23.0,57.0,0.9556666666666667
18,36,66,72,132,6,6,6,6,6,3.5,6.5,11.5,12.5,22.5,56.5,0.9545
18,36,66,72,129,6,6,6,6,6,3.5,6.5,11.5,12.5,22.0,56.0,0.9496666666666667
18,36,66,72,135,6,6,6,6,8,3.5,6.5,11.5,12.5,30.5,64.5,0.9543333333333334
18,36,66,72,126,6,6,6,6,8,3.5,6.5,11.5,12.5,28.5,62.5,0.933
18,36,66,72,117,6,6,6,6,8,3.5,6.5,11.5,12.5,26.5,60.5,0.8513333333333334
18,36,66,69,135,6,6,6,6,6,3.5,6.5,11.5,12.0,23.0,56.5,0.9528333333333333
18,36,66,69,132,6,6,6,6,6,3.5,6.5,11.5,12.0,22.5,56.0,0.947
18,36,66,69,129,6,6,6,6,6,3.5,6.5,11.5,12.0,22.0,55.5,0.9401666666666667
18,36,66,69,135,6,6,6,6,8,3.5,6.5,11.5,12.0,30.5,64.0,0.949
18,36,66,69,126,6,6,6,6,8,3.5,6.5,11.5,12.0,28.5,62.0,0.9216666666666666
18,36,66,69,117,6,6,6,6,8,3.5,6.5,11.5,12.0,26.5,60.0,0.827
18,36,66,66,135,6,6,6,6,6,3.5,6.5,11.5,11.5,23.0,56.0,0.9538333333333333
18,36,66,66,132,6,6,6,6,6,3.5,6.5,11.5,11.5,22.5,55.5,0.95
18,36,66,66,129,6,6,6,6,6,3.5,6.5,11.5,11.5,22.0,55.0,0.94
18,36,66,66,135,6,6,6,6,8,3.5,6.5,11.5,11.5,30.5,63.5,0.9515
18,36,66,66,126,6,6,6,6,8,3.5,6.5,11.5,11.5,28.5,61.5,0.9163333333333333
18,36,66,66,117,6,6,6,6,8,3.5,6.5,11.5,11.5,26.5,59.5,0.8286666666666667
18,36,66,72,135,6,6,6,8,6,3.5,6.5,11.5,16.5,23.0,61.0,0.9605
18,36,66,72,132,6,6,6,8,6,3.5,6.5,11.5,16.5,22.5,60.5,0.9596666666666667
18,36,66,72,129,6,6,6,8,6,3.5,6.5,11.5,16.5,22.0,60.0,0.9558333333333333
18,36,66,72,135,6,6,6,8,8,3.5,6.5,11.5,16.5,30.5,68.5,0.9566666666666667
18,36,66,72,126,6,6,6,8,8,3.5,6.5,11.5,16.5,28.5,66.5,0.9395
18,36,66,72,117,6,6,6,8,8,3.5,6.5,11.5,16.5,26.5,64.5,0.8675
18,36,66,63,135,6,6,6,8,6,3.5,6.5,11.5,14.5,23.0,59.0,0.9445
18,36,66,63,132,6,6,6,8,6,3.5,6.5,11.5,14.5,22.5,58.5,0.9413333333333334
18,36,66,63,129,6,6,6,8,6,3.5,6.5,11.5,14.5,22.0,58.0,0.934
18,36,66,63,135,6,6,6,8,8,3.5,6.5,11.5,14.5,30.5,66.5,0.9396666666666667
18,36,66,63,126,6,6,6,8,8,3.5,6.5,11.5,14.5,28.5,64.5,0.9131666666666667
18,36,66,63,117,6,6,6,8,8,3.5,6.5,11.5,14.5,26.5,62.5,0.8271666666666667
18,36,66,54,135,6,6,6,8,6,3.5,6.5,11.5,12.5,23.0,57.0,0.9035
18,36,66,54,132,6,6,6,8,6,3.5,6.5,11.5,12.5,22.5,56.5,0.8988333333333334
18,36,66,54,129,6,6,6,8,6,3.5,6.5,11.5,12.5,22.0,56.0,0.8875
18,36,66,54,135,6,6,6,8,8,3.5,6.5,11.5,12.5,30.5,64.5,0.9005
18,36,66,54,126,6,6,6,8,8,3.5,6.5,11.5,12.5,28.5,62.5,0.8671666666666666
18,36,66,54,117,6,6,6,8,8,3.5,6.5,11.5,12.5,26.5,60.5,0.7685
18,36,72,72,135,6,6,8,6,6,3.5,6.5,16.5,12.5,23.0,62.0,0.9741666666666666
18,36,72,72,132,6,6,8,6,6,3.5,6.5,16.5,12.5,22.5,61.5,0.972
18,36,72,72,129,6,6,8,6,6,3.5,6.5,16.5,12.5,22.0,61.0,0.9695
18,36,72,72,135,6,6,8,6,8,3.5,6.5,16.5,12.5,30.5,69.5,0.9731666666666666
18,36,72,72,126,6,6,8,6,8,3.5,6.5,16.5,12.5,28.5,67.5,0.9605
18,36,72,72,117,6,6,8,6,8,3.5,6.5,16.5,12.5,26.5,65.5,0.8971666666666667
18,36,72,69,135,6,6,8,6,6,3.5,6.5,16.5,12.0,23.0,61.5,0.9706666666666667
18,36,72,69,132,6,6,8,6,6,3.5,6.5,16.5,12.0,22.5,61.0,0.9696666666666667
18,36,72,69,129,6,6,8,6,6,3.5,6.5,16.5,12.0,22.0,60.5,0.9663333333333334
18,36,72,69,135,6,6,8,6,8,3.5,6.5,16.5,12.0,30.5,69.0,0.9695
18,36,72,69,126,6,6,8,6,8,3.5,6.5,16.5,12.0,28.5,67.0,0.9533333333333334
18,36,72,69,117,6,6,8,6,8,3.5,6.5,16.5,12.0,26.5,65.0,0.8828333333333334
18,36,72,66,135,6,6,8,6,6,3.5,6.5,16.5,11.5,23.0,61.0,0.9695
18,36,72,66,132,6,6,8,6,6,3.5,6.5,16.5,11.5,22.5,60.5,0.9686666666666667
18,36,72,66,129,6,6,8,6,6,3.5,6.5,16.5,11.5,22.0,60.0,0.9631666666666666
18,36,72,66,135,6,6,8,6,8,3.5,6.5,16.5,11.5,30.5,68.5,0.9683333333333334
