conv1_pruning,conv2_pruning,conv3_pruning,conv4_pruning,conv5_pruning,conv1_bits,conv2_bits,conv3_bits,conv4_bits,conv5_bits,conv1_bram,conv2_bram,conv3_bram,conv4_bram,conv5_bram,brams,accuracy
18,36,72,72,135,6,6,6,6,6,3.5,6.5,12.5,12.5,23.0,58.0,0.6701030927835051
18,36,72,72,132,6,6,6,6,6,3.5,6.5,12.5,12.5,22.5,57.5,0.6725288053365677
18,36,72,72,135,6,6,6,6,8,3.5,6.5,12.5,12.5,30.5,65.5,0.6725288053365677
18,36,72,72,126,6,6,6,6,8,3.5,6.5,12.5,12.5,28.5,63.5,0.645239539114615
18,36,72,69,135,6,6,6,6,6,3.5,6.5,12.5,12.0,23.0,57.5,0.6682838083687083
18,36,72,69,132,6,6,6,6,6,3.5,6.5,12.5,12.0,22.5,57.0,0.6646452395391146
18,36,72,69,135,6,6,6,6,8,3.5,6.5,12.5,12.0,30.5,65.0,0.6694966646452395
18,36,72,69,126,6,6,6,6,8,3.5,6.5,12.5,12.0,28.5,63.0,0.6385688295936931
18,36,72,72,135,6,6,6,8,6,3.5,6.5,12.5,16.5,23.0,62.0,0.6737416616130989
18,36,72,72,132,6,6,6,8,6,3.5,6.5,12.5,16.5,22.5,61.5,0.6749545178896301
18,36,72,72,135,6,6,6,8,8,3.5,6.5,12.5,16.5,30.5,69.5,0.6719223771983021
18,36,72,72,126,6,6,6,8,8,3.5,6.5,12.5,16.5,28.5,67.5,0.6470588235294118
18,36,72,63,135,6,6,6,8,6,3.5,6.5,12.5,14.5,23.0,60.0,0.5906610066707095
18,36,72,63,132,6,6,6,8,6,3.5,6.5,12.5,14.5,22.5,59.5,0.5833838690115222
18,36,72,63,135,6,6,6,8,8,3.5,6.5,12.5,14.5,30.5,67.5,0.5888417222559127
18,36,72,63,126,6,6,6,8,8,3.5,6.5,12.5,14.5,28.5,65.5,0.5876288659793815
18,36,69,72,135,6,6,6,6,6,3.5,6.5,12.0,12.5,23.0,57.5,0.6597938144329897
18,36,69,72,132,6,6,6,6,6,3.5,6.5,12.0,12.5,22.5,57.0,0.6506973923590055
18,36,69,72,135,6,6,6,6,8,3.5,6.5,12.0,12.5,30.5,65.0,0.6579745300181928
18,36,69,72,126,6,6,6,6,8,3.5,6.5,12.0,12.5,28.5,63.0,0.6349302607640994
18,36,69,69,135,6,6,6,6,6,3.5,6.5,12.0,12.0,23.0,57.0,0.6725288053365677
18,36,69,69,132,6,6,6,6,6,3.5,6.5,12.0,12.0,22.5,56.5,0.6652516676773802
18,36,69,69,135,6,6,6,6,8,3.5,6.5,12.0,12.0,30.5,64.5,0.6701030927835051
18,36,69,69,126,6,6,6,6,8,3.5,6.5,12.0,12.0,28.5,62.5,0.6318981200727714
18,36,69,72,135,6,6,6,8,6,3.5,6.5,12.0,16.5,23.0,61.5,0.6555488174651304
18,36,69,72,132,6,6,6,8,6,3.5,6.5,12.0,16.5,22.5,61.0,0.656155245603396
18,36,69,72,135,6,6,6,8,8,3.5,6.5,12.0,16.5,30.5,69.0,0.656155245603396
18,36,69,72,126,6,6,6,8,8,3.5,6.5,12.0,16.5,28.5,67.0,0.6361431170406306
18,36,69,63,135,6,6,6,8,6,3.5,6.5,12.0,14.5,23.0,59.5,0.5961188599151
18,36,69,63,132,6,6,6,8,6,3.5,6.5,12.0,14.5,22.5,59.0,0.5876288659793815
18,36,69,63,135,6,6,6,8,8,3.5,6.5,12.0,14.5,30.5,67.0,0.5961188599151
18,36,69,63,126,6,6,6,8,8,3.5,6.5,12.0,14.5,28.5,65.0,0.5900545785324439
18,36,72,72,135,6,6,8,6,6,3.5,6.5,16.5,12.5,23.0,62.0,0.6737416616130989
18,36,72,72,132,6,6,8,6,6,3.5,6.5,16.5,12.5,22.5,61.5,0.6707095209217707
18,36,72,72,135,6,6,8,6,8,3.5,6.5,16.5,12.5,30.5,69.5,0.6743480897513645
18,36,72,72,126,6,6,8,6,8,3.5,6.5,16.5,12.5,28.5,67.5,0.6500909642207399
18,36,72,69,135,6,6,8,6,6,3.5,6.5,16.5,12.0,23.0,61.5,0.6652516676773802
18,36,72,69,132,6,6,8,6,6,3.5,6.5,16.5,12.0,22.5,61.0,0.6628259551243177
18,36,72,69,135,6,6,8,6,8,3.5,6.5,16.5,12.0,30.5,69.0,0.6694966646452395
18,36,72,69,126,6,6,8,6,8,3.5,6.5,16.5,12.0,28.5,67.0,0.6458459672528806
18,36,72,72,135,6,6,8,8,6,3.5,6.5,16.5,16.5,23.0,66.0,0.6749545178896301
18,36,72,72,132,6,6,8,8,6,3.5,6.5,16.5,16.5,22.5,65.5,0.6755609460278957
18,36,72,72,135,6,6,8,8,8,3.5,6.5,16.5,16.5,30.5,73.5,0.6779866585809582
18,36,72,72,126,6,6,8,8,8,3.5,6.5,16.5,16.5,28.5,71.5,0.6567616737416616
18,36,72,63,135,6,6,8,8,6,3.5,6.5,16.5,14.5,23.0,64.0,0.5955124317768344
18,36,72,63,132,6,6,8,8,6,3.5,6.5,16.5,14.5,22.5,63.5,0.5870224378411159
18,36,72,63,135,6,6,8,8,8,3.5,6.5,16.5,14.5,30.5,71.5,0.5924802910855064
18,36,72,63,126,6,6,8,8,8,3.5,6.5,16.5,14.5,28.5,69.5,0.5882352941176471
18,36,63,72,135,6,6,8,6,6,3.5,6.5,14.5,12.5,23.0,60.0,0.5591267434808975
18,36,63,72,132,6,6,8,6,6,3.5,6.5,14.5,12.5,22.5,59.5,0.5397210430563978
18,36,63,72,135,6,6,8,6,8,3.5,6.5,14.5,12.5,30.5,67.5,0.5548817465130382
18,36,63,72,126,6,6,8,6,8,3.5,6.5,14.5,12.5,28.5,65.5,0.5081867798665858
18,36,63,69,135,6,6,8,6,6,3.5,6.5,14.5,12.0,23.0,59.5,0.5106124924196482
18,36,63,69,132,6,6,8,6,6,3.5,6.5,14.5,12.0,22.5,59.0,0.4851425106124924
18,36,63,69,135,6,6,8,6,8,3.5,6.5,14.5,12.0,30.5,67.0,0.5087932080048514
18,36,63,69,126,6,6,8,6,8,3.5,6.5,14.5,12.0,28.5,65.0,0.45906610066707093
18,36,63,72,135,6,6,8,8,6,3.5,6.5,14.5,16.5,23.0,64.0,0.5591267434808975
18,36,63,72,132,6,6,8,8,6,3.5,6.5,14.5,16.5,22.5,63.5,0.5372953305033353
18,36,63,72,135,6,6,8,8,8,3.5,6.5,14.5,16.5,30.5,71.5,0.5633717404487568
18,36,63,72,126,6,6,8,8,8,3.5,6.5,14.5,16.5,28.5,69.5,0.509399636143117
18,36,63,63,135,6,6,8,8,6,3.5,6.5,14.5,14.5,23.0,62.0,0.45906610066707093
18,36,63,63,132,6,6,8,8,6,3.5,6.5,14.5,14.5,22.5,61.5,0.4323832625833839
18,36,63,63,135,6,6,8,8,8,3.5,6.5,14.5,14.5,30.5,69.5,0.46270466949666467
18,36,63,63,126,6,6,8,8,8,3.5,6.5,14.5,14.5,28.5,67.5,0.42389326864766524
18,33,72,72,135,6,6,6,6,6,3.5,6.0,12.5,12.5,23.0,57.5,0.604002425712553
18,33,72,72,132,6,6,6,6,6,3.5,6.0,12.5,12.5,22.5,57.0,0.5985445724681625
18,33,72,72,135,6,6,6,6,8,3.5,6.0,12.5,12.5,30.5,65.0,0.6070345664038811
18,33,72,72,126,6,6,6,6,8,3.5,6.0,12.5,12.5,28.5,63.0,0.5906610066707095
18,33,72,69,135,6,6,6,6,6,3.5,6.0,12.5,12.0,23.0,57.0,0.6343238326258338
18,33,72,69,132,6,6,6,6,6,3.5,6.0,12.5,12.0,22.5,56.5,0.6270466949666464
18,33,72,69,135,6,6,6,6,8,3.5,6.0,12.5,12.0,30.5,64.5,0.6337174044875682
18,33,72,69,126,6,6,6,6,8,3.5,6.0,12.5,12.0,28.5,62.5,0.6215888417222559
18,33,72,72,135,6,6,6,8,6,3.5,6.0,12.5,16.5,23.0,61.5,0.6033959975742874
18,33,72,72,132,6,6,6,8,6,3.5,6.0,12.5,16.5,22.5,61.0,0.5961188599151
18,33,72,72,135,6,6,6,8,8,3.5,6.0,12.5,16.5,30.5,69.0,0.5997574287446937
18,33,72,72,126,6,6,6,8,8,3.5,6.0,12.5,16.5,28.5,67.0,0.585203153426319
18,33,72,63,135,6,6,6,8,6,3.5,6.0,12.5,14.5,23.0,59.5,0.5845967252880534
18,33,72,63,132,6,6,6,8,6,3.5,6.0,12.5,14.5,22.5,59.0,0.5864160097028502
18,33,72,63,135,6,6,6,8,8,3.5,6.0,12.5,14.5,30.5,67.0,0.5833838690115222
18,33,72,63,126,6,6,6,8,8,3.5,6.0,12.5,14.5,28.5,65.0,0.5967252880533657
18,33,69,72,135,6,6,6,6,6,3.5,6.0,12.0,12.5,23.0,57.0,0.553668890236507
18,33,69,72,132,6,6,6,6,6,3.5,6.0,12.0,12.5,22.5,56.5,0.533050333535476
18,33,69,72,135,6,6,6,6,8,3.5,6.0,12.0,12.5,30.5,64.5,0.5524560339599758
18,33,69,72,126,6,6,6,6,8,3.5,6.0,12.0,12.5,28.5,62.5,0.5166767738023045
18,33,69,69,135,6,6,6,6,6,3.5,6.0,12.0,12.0,23.0,56.5,0.5985445724681625
18,33,69,69,132,6,6,6,6,6,3.5,6.0,12.0,12.0,22.5,56.0,0.5870224378411159
18,33,69,69,135,6,6,6,6,8,3.5,6.0,12.0,12.0,30.5,64.0,0.5961188599151
18,33,69,69,126,6,6,6,6,8,3.5,6.0,12.0,12.0,28.5,62.0,0.5845967252880534
18,33,69,72,135,6,6,6,8,6,3.5,6.0,12.0,16.5,23.0,61.0,0.5488174651303821
18,33,69,72,132,6,6,6,8,6,3.5,6.0,12.0,16.5,22.5,60.5,0.5294117647058824
18,33,69,72,135,6,6,6,8,8,3.5,6.0,12.0,16.5,30.5,68.5,0.5482110369921165
18,33,69,72,126,6,6,6,8,8,3.5,6.0,12.0,16.5,28.5,66.5,0.5148574893875075
18,33,69,63,135,6,6,6,8,6,3.5,6.0,12.0,14.5,23.0,59.0,0.5730745906610066
18,33,69,63,132,6,6,6,8,6,3.5,6.0,12.0,14.5,22.5,58.5,0.5609460278956944
18,33,69,63,135,6,6,6,8,8,3.5,6.0,12.0,14.5,30.5,66.5,0.572468162522741
